genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness
rap,0.7838279532163742,0.7536907017543861,0.2206569649122807,0.08845607426900583,0.0046379621187134495,0.21571860818713445,0.6487455555555555,0.6024964912280701,4.258011695906432,0.5701754385964912,11,1,0,1.0,5,5
psychedelic rock,0.49837805297557614,0.5878123151014792,0.05360124871001032,0.31794409380804955,0.11381831884864117,0.201014520123839,0.5917249019607844,0.6005641554867559,4.141486068111455,0.5178878568971447,9,1,0,1.0,6,5
soul blues,0.5719593301435407,0.4081510765550239,0.06919046650717703,0.5646013875598086,0.01950961979784689,0.19812099282296652,0.5677395933014353,0.5986315789473684,3.5532296650717705,0.506578947368421,7,1,0,1.0,5,5
art rock,0.5307837826797386,0.5895293597742127,0.053681795900178256,0.26011513636363637,0.09253802319110219,0.18161126671122993,0.5699603052584671,0.5985269236482471,4.200200534759358,0.522875816993464,0,1,0,1.0,7,5
protopunk,0.5301074074074074,0.6828141414141415,0.055436576879910215,0.22508166588103254,0.11146298103254769,0.1701165656565657,0.6093661054994388,0.5983557800224467,4.510886644219977,0.5246913580246914,9,1,0,1.0,7,5
hip hop,0.7870251461988303,0.7483876218323587,0.22095626705653024,0.08507999707602337,0.003917807145224171,0.21198402534113062,0.6553537037037037,0.5969785575048733,4.302046783625731,0.567738791423002,11,1,1,1.0,5,5
folk,0.5265786764705882,0.41132979876160997,0.03857607585139319,0.5067796052631579,0.009186866957430342,0.16316725232198143,0.5396066950464397,0.5946068111455108,3.8183436532507735,0.517608359133127,7,1,0,1.0,4,5
neo mellow,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
indietronica,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
indiecoustica,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
indie poptimism,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
indie pop,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
hopebeat,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
modern alternative rock,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
modern rock,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
electropop,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5
memphis soul,0.6598527272727273,0.4512445454545455,0.05796163636363636,0.40463063636363633,0.16118516609090908,0.15367563636363638,0.6639727272727273,0.592,3.4236363636363634,0.5,10,1,0,1.0,6,5
torch song,0.4207,0.3869,0.04407,0.6742999999999999,0.0014454390000000002,0.33985,0.456,0.591,3.6,0.5,2,0,0,1.0,4,5
country rock,0.5312593301435408,0.5400569377990432,0.038171004784688996,0.34409627224880385,0.06182972615311005,0.1820353110047847,0.6435028708133972,0.5891531100478469,4.122966507177034,0.5119617224880382,7,1,0,1.0,6,5
stoner rock,0.3585,0.5451499999999999,0.051650000000000015,0.17573652,0.11781075,0.11944,0.4124,0.5880000000000001,5.5,0.5,9,1,0,0.0,7,5
uk doom metal,0.3585,0.5451499999999999,0.051650000000000015,0.17573652,0.11781075,0.11944,0.4124,0.5880000000000001,5.5,0.5,9,1,0,0.0,7,5
birmingham metal,0.3585,0.5451499999999999,0.051650000000000015,0.17573652,0.11781075,0.11944,0.4124,0.5880000000000001,5.5,0.5,9,1,0,0.0,7,5
folk rock,0.5454656983781165,0.5222277593038515,0.0436085080711947,0.4272769320121292,0.0445822240244238,0.17598474142873521,0.6255925186968875,0.5875789728496987,3.6897972964364434,0.5134477442698977,7,1,0,1.0,6,5
arkansas country,0.6176999999999999,0.4859,0.08109,0.5199699999999999,0.06834203999999999,0.3625300000000001,0.6476000000000001,0.5875,3.4,0.6,0,1,0,1.0,6,5
dance rock,0.5883699346405229,0.670399108734403,0.061652822341057636,0.19045709797979798,0.072197165771836,0.16071891859774212,0.656203505644682,0.5870231729055257,4.133689839572193,0.5098039215686274,2,1,0,1.0,7,5
vocal jazz,0.46358684210526324,0.41476578947368414,0.06472184210526315,0.7171236842105262,0.0007692868684210528,0.2631328947368421,0.5074473684210526,0.5807631578947368,3.7473684210526317,0.513157894736842,2,1,0,1.0,4,5
