,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness,track_count
Ramones,0.4828,0.8683,0.08161000000000002,0.0457539,0.11131369100000003,0.11756000000000003,0.8154,0.5640000000000002,2.9,0.5,9,1,0,1.0,9,6,20
Nine Inch Nails,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.33006579999999996,0.23774,0.26251,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5,20
Disclosure,0.887,0.519,0.107,0.0344,0.223,0.157,0.652,0.56,3.0,1.0,7,1,0,1.0,5,5,1
Roxy Music,0.6001000000000001,0.6649,0.049400000000000006,0.25054499999999996,0.11731723999999999,0.14641,0.6338000000000001,0.558,4.6,0.5,0,1,0,1.0,7,5,20
Madonna,0.7225000000000001,0.7724444444444445,0.05397777777777778,0.17349555555555557,0.01911839,0.16297777777777778,0.6674444444444444,0.5572222222222223,4.777777777777778,0.5555555555555556,9,1,0,0.0,6,5,18
Cream,0.5008000000000001,0.5468000000000001,0.037779999999999994,0.29318,0.04552916,0.28895,0.5880000000000001,0.5539999999999999,4.1,0.5,0,1,0,1.0,5,5,20
Diana Ross,0.6338333333333331,0.6489999999999999,0.044994444444444455,0.24965555555555557,0.051682302222222226,0.1575,0.6147222222222223,0.5522222222222223,4.111111111111111,0.5555555555555556,5,1,0,0.0,5,5,18
June Carter Cash,0.6849999999999999,0.6386666666666666,0.0401,0.548,0.00022933333333333334,0.5133333333333333,0.797,0.5499999999999999,2.6666666666666665,0.6666666666666666,0,1,0,1.0,6,5,3
Johnny Cash,0.6176999999999999,0.4859,0.08109,0.5199699999999999,0.06834203999999999,0.3625300000000001,0.6476000000000001,0.5479999999999999,3.4,0.6,0,1,0,1.0,6,5,20
The Everly Brothers,0.5757000000000001,0.4109999999999999,0.034100000000000005,0.6653999999999999,0.000385507,0.17774,0.6672,0.547,2.0,0.5,7,1,0,1.0,5,5,20
Sly & The Family Stone,0.7634000000000001,0.5486000000000001,0.06877999999999998,0.33817100000000005,0.12285515,0.21664,0.7110000000000002,0.5459999999999999,4.0,0.5,10,1,0,1.0,5,5,20
Buddy Holly,0.5710999999999999,0.4276000000000001,0.032999999999999995,0.6415000000000001,0.034902629,0.16907000000000003,0.6648,0.545,2.3,0.5,9,1,0,1.0,6,5,20
James Brown,0.7317058823529412,0.6358235294117648,0.13490000000000002,0.39221176470588237,0.005987002941176471,0.3953294117647059,0.775,0.5429411764705881,4.294117647058823,0.5882352941176471,0,1,0,1.0,5,5,17
The Byrds,0.49700000000000005,0.5534,0.03871000000000001,0.29589999999999994,0.013849678,0.27643,0.634,0.54,2.8,0.5,7,1,0,1.0,6,5,20
Diana Ross & The Supremes,0.635,0.393,0.0428,0.394,0.0,0.255,0.4270000000000001,0.54,3.0,1.0,10,1,0,1.0,5,5,1
K-Ci & JoJo,0.828,0.81,0.101,0.121,3.02e-06,0.0495,0.838,0.54,5.0,0.5,8,1,1,0.0,5,6,2
Maná,0.6990000000000001,0.789,0.0285,0.13,0.287,0.0874,0.9620000000000001,0.54,5.0,0.5,11,0,0,1.0,6,5,2
Curtis Mayfield,0.6342999999999999,0.7079,0.06295,0.30876,0.06632519899999999,0.11363000000000001,0.7799,0.5359999999999999,5.3,0.5,11,0,0,1.0,6,5,20
Vince Gill,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
"""Keb Mo""",0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Jimmy Hall,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Sam Moore,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Gregg Allman,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Warren Haynes,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Widespread Panic,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Taj Mahal,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Robert Randolph,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Susan Tedeschi,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Brantley Gilbert,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Zac Brown,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
John Hiatt,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Eric Church,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
The Staple Singers,0.557,0.752,0.0566,0.237,2.19e-06,0.124,0.687,0.53,5.0,0.5,9,1,0,1.0,4,5,2
Dr. John,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Martina McBride,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Pat Monahan,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Jr.,0.5920000000000001,0.672,0.0278,0.7120000000000001,0.0,0.0659,0.887,0.53,3.0,1.0,1,1,0,1.0,7,5,1
Devon Allman,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Jackson Browne,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
