danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,popularity,explicit,id,name,release_date,artists,available_markets,tempo,loudness,duration_min
0.762,0.696,5,0,0.126,0.0172,1.33e-06,0.22,0.532,0.65,1,1LYYsrjs2VIKB8t534B3cm,No Stylist (feat. Drake),2019-12-06,"['French Montana', 'Drake']",1.0,5,2,3
0.618,0.845,2,1,0.132,0.114,0.0,0.415,0.486,0.72,1,5mqzhMuUpvnMfwNz6iepmO,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",2018-05-15,"['Diplo', 'French Montana', 'Lil Pump', 'Zhavia Ward']",1.0,6,6,3
0.774,0.836,9,0,0.152,0.28800000000000003,2.44e-05,0.0824,0.494,0.69,1,7ntUbTIwmwOD6ygCMRZT6e,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",2019-12-06,"['French Montana', 'Post Malone', 'Cardi B', 'Rvssian']",1.0,2,4,3
0.845,0.7090000000000001,10,0,0.0714,0.0233,0.0,0.094,0.62,0.7,0,2z4pcBLQXF2BXKFvd0BuB6,Tip Toe (feat. French Montana),2017-11-10,"['Jason Derulo', 'French Montana']",1.0,1,2,3
0.718,0.882,4,0,0.0521,0.0229,0.0286,0.102,0.611,0.69,1,54yCP5dfn4uvU5h37aE8f4,Out Of Your Mind (feat. Chris Brown),2019-12-06,"['French Montana', 'Swae Lee', 'Chris Brown']",1.0,1,2,3
0.79,0.777,10,0,0.043,0.0107,2.01e-05,0.153,0.581,0.64,1,3aFJuEqwuvZRjWULDr0rEx,Wiggle It (feat. City Girls),2019-12-06,"['French Montana', 'City Girls']",1.0,1,2,3
0.738,0.568,8,1,0.18600000000000005,0.0246,0.0,0.146,0.399,0.67,1,1IBUPdwV9TvaipSODdt8QY,Maghreb Gang (feat. French Montana & Khaled),2019-06-07,"['Farid Bang', 'French Montana', 'Khaled']",1.0,1,2,3
0.449,0.597,9,0,0.14,0.34700000000000003,1.03e-05,0.197,0.505,0.66,0,1MUL6DO2gVimj2YrVedubd,Creep On Me,2018-08-22,"['GASHI', 'French Montana', 'DJ Snake']",1.0,4,2,3
0.934,0.642,2,1,0.117,0.037000000000000005,0.0,0.0754,0.748,0.65,1,10dVVfHlZYjV4Qv9uNVgrA,Joanna (Drogba) - Remix,2019-06-25,"['Afro B', 'French Montana']",1.0,2,1,3
0.537,0.373,6,0,0.0331,0.691,0.000915,0.083,0.244,0.72,0,6CKoWCWAqEVWVjpeoJXyNH,Shape Of My Heart,1993-03-09,['Sting'],1.0,1,4,5
0.674,0.34700000000000003,9,1,0.0364,0.396,1.05e-05,0.0916,0.647,0.71,0,4KFM3A5QF2IMcc6nHsu3Wp,Englishman In New York,1987-01-01,['Sting'],1.0,5,2,4
0.6509999999999999,0.33899999999999997,2,1,0.0246,0.3720000000000001,0.0141,0.0739,0.32,0.69,0,0I1DJdLt9BKOb7GWmWxCjo,Fields Of Gold,1993-03-09,['Sting'],1.0,5,4,4
0.75,0.541,10,0,0.0449,0.484,0.0,0.10300000000000001,0.6890000000000001,0.51,0,4F0B8TLdJVACskfkkTqHDI,Reste,2019-04-26,"['Maître Gims', 'Sting']",0.1518987341772152,4,6,4
0.32299999999999995,0.198,4,0,0.0354,0.912,0.0698,0.0889,0.289,0.63,0,5oE6INocVL9viDow5y8QNM,Fragile,1987-01-01,['Sting'],1.0,1,1,4
0.5770000000000001,0.654,0,0,0.0321,0.0143,0.0,0.114,0.13,0.52,0,4WhyHQ2BXi2VU1iaFbF6jv,Desert Rose,1999-01-01,['Sting'],0.0379746835443038,6,5,5
0.575,0.727,2,1,0.0281,0.00952,0.0075400000000000016,0.054000000000000006,0.504,0.57,0,05vL56xSoxthM0r7IfcQjo,If I Ever Lose My Faith In You,1993-03-09,['Sting'],1.0,4,5,5
0.804,0.624,4,0,0.142,0.0569,0.0,0.253,0.33899999999999997,0.57,0,2O1mWcHL30SxpFVpyNi4De,Don't Make Me Wait (with Shaggy),2018-04-20,"['Sting', 'Shaggy']",0.9873417721518988,2,5,4
0.629,0.867,8,0,0.07400000000000001,0.00916,1.84e-06,0.244,0.348,0.55,0,65ev2pHcMjl695wjiUY21r,2 In A Million,2020-04-03,"['Steve Aoki', 'Sting', 'SHAED']",0.9493670886075948,3,6,4
0.789,0.667,7,1,0.28300000000000003,0.179,0.0,0.0603,0.934,0.55,0,1MIoqrkFISWV3q3JvifC4S,Morning Is Coming (with Shaggy),2018-04-20,"['Sting', 'Shaggy']",0.9873417721518988,1,5,3
0.434,0.897,0,1,0.0488,0.0103,0.0,0.612,0.684,0.79,0,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,1999-06-01,['blink-182'],1.0,4,4,3
0.391,0.951,6,1,0.0692,0.0126,0.000378,0.0878,0.468,0.75,0,4LJhJ6DQS7NwE7UKtvcM52,What's My Age Again?,1999-06-01,['blink-182'],1.0,4,1,2
0.664,0.7809999999999999,11,1,0.0339,0.00103,5.33e-06,0.0867,0.593,0.69,0,1oTo3ijRbaDAtrjJrGAPSw,I Miss You,2003-01-01,['blink-182'],0.02531645569620253,1,2,4
