,acousticness,artists,danceability,duration_min,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,genres
3153,0.904,['Thelonious Monk'],0.408,3,0.366,0,6L112NAmGH6hcb03sUkPiZ,2.0600000000000003e-05,0,0.19899999999999998,5,1,April In Paris - Alternate Take/Rudy Van Gelder 24-Bit Mastering/2001 Digital Remaster,0.18,1951,0.042,8,0.425,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']"
3154,0.895,['José Alfredo Jimenez'],0.589,3,0.22899999999999998,0,6vdEmgXfenvxLM1BLqDiP0,0.0016300000000000002,7,0.29,5,1,Amarga Navidad,0.12,1951,0.0586,4,0.574,"['bolero', 'grupera', 'mariachi', 'ranchera']"
3155,0.00655,['Ouija Macc'],0.701,3,0.435,1,7oPUrLC3GEQUUIZmCNasPh,0.00853,5,0.14800000000000002,5,1,Bitch Down (Freestyle),0.13,1951-12-25,0.0646,7,0.29600000000000004,[]
3156,0.815,['Thelonious Monk'],0.635,3,0.828,0,0fyFTdeABJUMtQWcU0lw9K,0.08,5,0.10800000000000001,6,1,Who Knows? - Alternate Take/Rudy Van Gelder 24-Bit Mastering/1998 Digital Remaster,0.18,1951,0.0581,6,0.785,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']"
3157,0.99,"['Miles Davis', 'Lee Konitz']",0.42,3,0.168,0,2BhL0spgnv7SA53VnauUbS,0.698,9,0.152,4,1,Odjenar,0.19,1951-10-05,0.0307,4,0.359,[]
3158,0.955,"['Miles Davis', 'Lee Konitz']",0.583,3,0.349,0,2RIb2ipjnNHJ8ym1Aatp5g,0.672,0,0.268,5,1,Hi Beck,0.19,1951-10-05,0.0458,5,0.785,[]
3159,0.857,['José Alfredo Jimenez'],0.41200000000000003,3,0.29,0,3wA79MjLfNuDPUdO4CUqwI,8.5e-06,5,0.527,5,1,Cuatro Copas,0.12,1951,0.0398,4,0.435,"['bolero', 'grupera', 'mariachi', 'ranchera']"
3160,0.983,"['Kathryn Grayson', 'Howard Keel']",0.312,4,0.127,0,5tgGvvUcVvZuaVCKoNlN7q,0.000241,0,0.133,4,1,Make Believe,0.14,1951-09-24,0.040999999999999995,4,0.213,[]
3161,0.23199999999999998,"['Lester Flatt', 'Earl Scruggs', 'The Foggy Mountain Boys']",0.391,3,0.65,0,6yUAjTaVwh1qPyQecmw5Fj,0.8079999999999999,8,0.31,5,1,Earl's Breakdown (with The Foggy Mountain Boys) - 78rpm Version,0.12,1951,0.0308,7,0.973,[]
3162,0.9690000000000001,['Dean Martin'],0.506,2,0.33799999999999997,0,25d2XBF9t17lC44LOQAeq3,0.0202,5,0.0525,5,0,Who's Sorry Now?,0.16,1951,0.0438,8,0.716,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
3163,0.9940000000000001,"['Miles Davis', 'Lee Konitz']",0.462,3,0.0397,0,4mWWCpaUE22CQEjk10GH7F,0.75,8,0.11699999999999999,4,1,Duet For Saxophone & Guitar,0.2,1951-10-05,0.0659,4,0.217,[]
3164,0.879,['Duke Ellington'],0.452,12,0.444,0,4nTUzc0KVsowCbYM2pLkJK,0.17300000000000001,5,0.0875,5,0,The Tattooed Bride,0.16,1951,0.0583,5,0.32299999999999995,"['adult standards', 'bebop', 'big band', 'cool jazz', 'jazz', 'jazz piano', 'lounge', 'swing', 'vocal jazz']"
3165,0.897,['Doris Day'],0.6970000000000001,2,0.32899999999999996,0,7t9asD15TyZcNXyUtKpCyL,0.0,7,0.191,5,0,Lullaby of Broadway,0.2,1951-04-01,0.042,5,0.7490000000000001,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
3166,0.9940000000000001,"['Miles Davis', 'Lee Konitz']",0.515,2,0.114,0,0h9EgpdISR7HUwckbgFbNb,0.726,0,0.10400000000000001,4,1,Yesterdays,0.18,1951-10-05,0.0431,4,0.316,[]
3167,0.897,"['Miles Davis', 'Lee Konitz']",0.475,3,0.475,0,0sBPzjIxhtN3OQvTbJIiHP,0.685,5,0.37799999999999995,5,0,Ezz-Thetic,0.18,1951-10-05,0.0445,4,0.797,[]
3168,0.0183,"['Ouija Macc', 'Kold Blooded']",0.741,4,0.514,1,7trOGEnj7MHkvCZJ78g29m,0.0578,1,0.0844,5,1,Swang,0.12,1951-12-25,0.0524,7,0.0513,[]
3169,0.977,['Dean Martin'],0.629,3,0.12,0,7ucKpLpmt5Vcd98r2dE7Uf,0.0111,9,0.0924,5,1,I Love The Way You Say Goodnight,0.17,1951,0.0335,5,0.465,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
3170,0.821,"['Louis Prima', 'Keely Smith']",0.727,3,0.625,0,0Fdr7FOF5QmtunuKPXel8Z,0.0,7,0.27399999999999997,5,1,Luigi,0.14,1951,0.11900000000000001,6,0.9620000000000001,[]
3171,0.981,['Ahmad Jamal'],0.7809999999999999,3,0.139,0,1A2tUjDTDg2upXTVgomgwY,0.895,5,0.113,4,1,Ahmad's Blues,0.15,1951,0.0442,6,0.331,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']"
3172,0.552,"['Johnny Cash', 'June Carter Cash']",0.7070000000000001,3,0.483,0,6ekSX8AVzwRSs0mbSlPc0R,0.000143,0,0.38799999999999996,5,1,Jackson (with June Carter Cash),0.47,1952,0.0371,6,0.79,[]
3173,0.889,['Gene Kelly'],0.354,5,0.24100000000000002,0,5U3MkUWTpzj37A33GboDtv,0.00027400000000000005,5,0.165,5,1,Singin' In The Rain,0.52,1952-04-11,0.0334,7,0.408,"['adult standards', 'lounge', 'movie tunes', 'vintage hollywood']"
3174,0.938,['Dean Martin'],0.179,3,0.152,0,5aefoUh9oR6nzQdwdp6k14,5.74e-06,9,0.122,4,1,Come Back To Sorrento,0.47,1952,0.038,4,0.22699999999999998,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
3175,0.927,['Marty Robbins'],0.429,4,0.317,0,7K40sZ0ZV6vGjzSso2nFyr,3.5000000000000004e-06,0,0.11599999999999999,5,1,"My Woman, My Woman, My Wife",0.46,1952,0.0292,5,0.302,"['cowboy western', 'nashville sound']"
3176,0.875,"['Les Paul', 'Mary Ford']",0.3,3,0.379,0,6afQyDHXp0KCyw1O6tSdeG,0.000136,8,0.20600000000000002,5,1,Smoke Rings,0.4,1952-01-01,0.0503,4,0.221,[]
3177,0.723,"['Gene Kelly', 'Debbie Reynolds', ""Donald O'Connor""]",0.444,4,0.42,0,5fWf6gj5RE9nma0nyOSuZ6,3.77e-05,2,0.12300000000000001,5,1,Good Morning,0.36,1952-04-11,0.0495,5,0.507,[]
3178,0.441,"['Dizzy Gillespie', 'Charlie Parker', 'Thelonious Monk', 'Curly Russell', 'Buddy Rich']",0.562,3,0.728,0,7xZLIErdMaUV0GmtsRclS5,3.3299999999999996e-05,5,0.35100000000000003,5,1,Leap Frog - Take 11 / Take 6 / Master Take,0.42,1952-01-01,0.0984,4,0.731,[]
3179,0.8690000000000001,['Gene Kelly'],0.384,4,0.222,0,2WhfLbSe7XTQBBz6HIEOnh,5.5100000000000004e-05,5,0.159,4,1,Singin' In The Rain,0.32,1952-04-11,0.0351,7,0.498,"['adult standards', 'lounge', 'movie tunes', 'vintage hollywood']"
3180,0.203,['Flatt & Scruggs'],0.618,2,0.49700000000000005,0,6wIIx1VBiE1J7FKxNPvtMa,0.922,8,0.0841,5,1,Foggy Mountain Special,0.31,1952,0.062,5,0.977,"['appalachian folk', 'banjo', 'bluegrass', 'bluegrass gospel', 'old-time', 'progressive bluegrass', 'traditional country', 'traditional folk']"
3181,0.8029999999999999,['Marty Robbins'],0.598,2,0.413,0,0lYMgvKnTa5Kh5hyIIR5wO,0.00209,4,0.12300000000000001,5,1,Ribbon Of Darkness,0.33,1952,0.0406,6,0.8,"['cowboy western', 'nashville sound']"
3182,0.506,['Charlie Parker Quartet'],0.581,3,0.552,0,29erJjtgdbh1KbG7MuPJCj,5.07e-05,7,0.0897,5,0,Confirmation - Take 3 / Master,0.36,1952-12-12,0.046,5,0.747,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']"
3183,0.799,"['Debbie Reynolds', 'MGM Studio Chorus']",0.7120000000000001,1,0.455,0,6iAJPZqtBNlgRW2pmpSRAg,1.4099999999999999e-05,10,0.348,5,1,All I Do Is Dream of You,0.29,1952-04-11,0.0746,6,0.97,[]
3184,0.682,"[""Donald O'Connor""]",0.632,3,0.605,0,7Llst69TWS7mfdSUrh94Vs,2.13e-05,8,0.506,5,1,Make 'Em Laugh,0.28,1952-04-11,0.0997,4,0.6990000000000001,[]
3185,0.7020000000000001,"['Gene Kelly', 'Debbie Reynolds', ""Donald O'Connor""]",0.45399999999999996,4,0.442,0,3SBQJ5yP1EmKWD0dqn4RWK,3.71e-05,2,0.113,5,1,Good Morning,0.33,1952-04-11,0.0508,7,0.5,[]
3186,0.946,['Betty Noyes'],0.244,2,0.207,0,4WpsAiAJkgwLN9rrVUvn5t,1.65e-06,8,0.313,5,1,Would You?,0.28,1952-04-11,0.0356,4,0.166,['movie tunes']
3187,0.995,['Stan Getz'],0.493,3,0.12300000000000001,0,5B1XEvV3NaVPulBCafMGZg,0.953,1,0.105,4,1,Body And Soul,0.28,1952-01-01,0.0449,3,0.444,"['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz']"
3188,0.953,['Jackie Gleason'],0.182,3,0.271,0,0BEGcUB8xzHZa3BQfo6MSM,0.94,2,0.11900000000000001,5,0,Alone Together,0.33,1952-11-03,0.0328,3,0.0397,"['adult standards', 'easy listening', 'exotica', 'lounge']"
3189,0.9790000000000001,['Gene Kelly'],0.217,5,0.10800000000000001,0,0UHrAWfeboiGQlfJloAwbf,0.309,5,0.0804,4,0,You Were Meant For Me,0.31,1952-04-11,0.0386,6,0.12,"['adult standards', 'lounge', 'movie tunes', 'vintage hollywood']"
3190,0.863,['June Carter Cash'],0.8540000000000001,2,0.35600000000000004,0,5x46pk7OZUv1WWiP6iEdMy,0.000675,6,0.131,5,1,Juke Box Blues,0.26,1952,0.0609,6,0.845,[]
3191,0.821,['Bud Powell'],0.39899999999999997,5,0.657,0,2uhe5PssRumOJN6jDz2MYJ,0.0189,7,0.125,5,1,Un Poco Loco,0.31,1952-01-01,0.0409,4,0.653,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']"
3192,0.7859999999999999,['Debbie Reynolds'],0.613,1,0.259,0,6TDpABj2LwELrlaAr54TlV,0.0,3,0.115,5,1,Singin' In The Rain (In A-Flat) - Extended Version,0.25,1952-04-11,0.0268,5,0.927,['vintage hollywood']
3193,0.7759999999999999,['Bud Powell'],0.461,4,0.462,0,1gVNKswHJISJ5y0ocAdvlv,0.0268,7,0.10800000000000001,5,0,A Night In Tunisia,0.31,1952-01-01,0.039,4,0.758,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']"
3194,0.775,"['Gene Kelly', ""Donald O'Connor""]",0.456,3,0.48,0,0rmEOQf1gNkGqqpvFSptFp,4.43e-06,10,0.249,5,1,Moses,0.28,1952-04-11,0.272,5,0.748,[]
3195,0.797,['Thelonious Monk'],0.504,3,0.599,0,3A9yRjIhRGSZIeuV0MT7lB,0.000136,10,0.35200000000000004,5,0,Straight No Chaser - Remastered 1998,0.31,1952,0.0657,8,0.713,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']"
3196,0.934,['Gerry Mulligan Quartet'],0.596,3,0.256,0,6BavxfUuSOBIhMaEJ6rjNs,0.198,2,0.114,5,1,Walkin' Shoes,0.3,1952,0.0641,7,0.46,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']"
3197,0.892,['Dean Martin'],0.304,2,0.121,0,1IAMWO6YGFzwagaGtBSuD1,0.0224,9,0.115,4,1,Kiss,0.28,1952,0.0354,3,0.17300000000000001,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
3198,0.485,['Charlie Parker Quartet'],0.478,3,0.534,0,0cvA7oe0YMEOl5L017P9lq,0.00425,5,0.188,5,1,Now's The Time,0.31,1952-12-12,0.0386,5,0.6729999999999999,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']"
3199,0.9670000000000001,['Gerry Mulligan Quartet'],0.44,3,0.182,0,2ynGfwePiLptW599QebWbr,0.9009999999999999,0,0.0852,5,1,Lullaby Of The Leaves,0.3,1952,0.0427,6,0.524,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet']"
3200,0.757,"[""Donald O'Connor""]",0.5579999999999999,3,0.612,0,1Uwhu0HNqCjukmsiSSnlsx,2.59e-06,8,0.28800000000000003,5,1,Make 'Em Laugh,0.28,1952-04-11,0.11699999999999999,8,0.71,[]
3201,0.992,['Jean Ritchie'],0.494,2,0.0162,0,7hdVMPuU0ur50wAW9uGZD5,1.75e-06,7,0.09,4,0,Black Is The Color,0.29,1952,0.0524,7,0.4,"['american folk revival', 'appalachian folk', 'folk', 'kentucky mountain folk', 'mountain dulcimer', 'old-time', 'string folk', 'traditional folk']"
3202,0.9009999999999999,"['Gene Kelly', 'Debbie Reynolds', ""Donald O'Connor"", 'MGM Studio Orchestra']",0.255,2,0.44799999999999995,0,04FV3YofsJsPVKTZbScTbK,0.00757,7,0.163,5,0,Main Title (Singin' In The Rain),0.27,1952-04-11,0.0377,6,0.35600000000000004,[]
3203,0.9259999999999999,['Gene Kelly'],0.175,4,0.0869,0,3yP8sEKg7j7KoW7G47BPIQ,0.00545,10,0.0978,4,1,All I Do Is Dream of You - Extended Outtake,0.27,1952-04-11,0.0375,4,0.14,"['adult standards', 'lounge', 'movie tunes', 'vintage hollywood']"
3204,0.958,['Betty Noyes'],0.273,3,0.179,0,4cIIXYpMpKCZSvnQRP5WIR,0.000294,8,0.157,5,1,Would You?,0.27,1952-04-11,0.0356,7,0.187,['movie tunes']
3205,0.772,"['Gene Kelly', ""Donald O'Connor""]",0.449,3,0.385,0,41KP4xbfJ0Cni7ZMe6A8dX,0.0,1,0.242,5,1,Moses,0.22,1952-04-11,0.149,5,0.779,[]
3206,0.955,['Jean Ritchie'],0.58,2,0.0783,0,4LXd5Oth5vfx5yBsGI6M10,0.000244,4,0.171,4,1,Jubilee,0.24,1952,0.055,6,0.625,"['american folk revival', 'appalachian folk', 'folk', 'kentucky mountain folk', 'mountain dulcimer', 'old-time', 'string folk', 'traditional folk']"
3207,0.8540000000000001,['Debbie Reynolds'],0.703,1,0.486,0,63w2kmmNq5lR3yzToSZ8Kg,6.14e-06,10,0.299,5,1,All I Do Is Dream of You,0.27,1952-04-11,0.0646,6,0.971,['vintage hollywood']
3208,0.996,['Stan Getz'],0.444,3,0.0834,0,0WdiW7zP35hfIAw6jKxwIS,0.892,5,0.26899999999999996,4,0,'Tis Autumn,0.22,1952-01-01,0.0521,7,0.418,"['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz']"
3209,0.805,"['Gene Kelly', ""Donald O'Connor"", 'MGM Studio Orchestra']",0.506,2,0.466,0,44oTFG2npkcAx9Td0LJzue,9.86e-06,0,0.201,5,0,Fit As A Fiddle (And Ready For Love),0.26,1952-04-11,0.0524,6,0.927,[]
3210,0.456,"['Stan Kenton & His Orchestra', 'June Christy']",0.659,3,0.426,0,4bdmF5wfL0OSwVLQAWPOjn,0.0,8,0.43799999999999994,5,1,Tampico,0.28,1952-01-01,0.0585,8,0.9620000000000001,[]
3211,0.254,['Marty Robbins'],0.499,2,0.5870000000000001,0,7wUIe44QFXggYZsmdWm6iP,0.0,5,0.171,5,1,Singing The Blues,0.26,1952,0.0277,7,0.733,"['cowboy western', 'nashville sound']"
3212,0.27,"['Dizzy Gillespie', 'Charlie Parker', 'Thelonious Monk', 'Curly Russell', 'Buddy Rich']",0.58,3,0.389,0,14DEfXQJTnx4VHxU5CI47e,0.000949,6,0.179,5,1,Relaxing With Lee - Take 6 / Take 3 / Master Take,0.29,1952-01-01,0.0405,4,0.726,[]
3213,0.975,['Nat King Cole'],0.45,3,0.0865,0,16LZ9oZJIM0Qn2e7UMV7Xo,0.917,0,0.10800000000000001,4,1,Penthouse Serenade (When We're Alone) - Remastered,0.26,1952-09-15,0.0422,7,0.321,"['adult standards', 'lounge', 'vocal jazz']"
3214,0.929,['Jackie Gleason'],0.196,3,0.23199999999999998,0,6KJkz3TXuUu095vFk7vLTK,0.54,5,0.568,5,1,Our Love Is Here To Stay,0.23,1952-11-03,0.0352,5,0.0914,"['adult standards', 'easy listening', 'exotica', 'lounge']"
3215,0.9179999999999999,"['Gene Kelly', 'The MGM Studio Orchestra & The MGM Studio Chorus']",0.307,7,0.39,0,5k7C5x4njsKt9PVwnzNE1B,0.000121,3,0.0815,5,1,Broadway Melody Ballet,0.26,1952-04-11,0.0461,4,0.289,[]
3216,0.945,['Jackie Gleason'],0.11699999999999999,3,0.196,0,0E2vu6Cqz3x9ZrxvBMhTvW,0.857,10,0.36,5,0,Body And Soul,0.22,1952-11-03,0.0368,5,0.0747,"['adult standards', 'easy listening', 'exotica', 'lounge']"
3217,0.909,['Marty Robbins'],0.682,3,0.337,0,6SmTXd10pvCAr8Kn18Jokh,7.06e-06,4,0.125,5,1,Devil Woman,0.24,1952,0.0524,7,0.588,"['cowboy western', 'nashville sound']"
3218,0.93,['Dean Martin'],0.182,3,0.12300000000000001,0,0VrTy4ScuMoVxp26rLgHpd,0.0492,5,0.106,4,0,You Belong To Me,0.27,1952,0.0427,4,0.23800000000000002,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
3219,0.9570000000000001,"['Gene Kelly', 'Debbie Reynolds', 'MGM Studio Chorus']",0.11900000000000001,2,0.16399999999999998,0,49Ir4863yHlthhMVVVcsZ2,0.0306,5,0.259,5,1,Finale (Singin' In The Rain),0.25,1952-04-11,0.032,4,0.146,[]
3220,0.922,['Jackie Gleason'],0.179,3,0.281,0,33haaDXqwsd7wOk75ov0NL,0.8340000000000001,2,0.16,5,0,My Funny Valentine,0.22,1952-11-03,0.0347,5,0.087,"['adult standards', 'easy listening', 'exotica', 'lounge']"
3221,0.935,['Jackie Gleason'],0.0983,3,0.24,0,3CPPlnZmH69XASQfvFVoQW,0.68,0,0.12,5,1,I Only Have Eyes For You,0.22,1952-11-03,0.0343,4,0.0579,"['adult standards', 'easy listening', 'exotica', 'lounge']"
3222,0.9940000000000001,['Stan Getz'],0.531,3,0.215,0,4RMpSLXLvoi2RkcrHDkDpi,0.904,7,0.135,4,1,Stella By Starlight,0.2,1952-01-01,0.0427,4,0.5429999999999999,"['adult standards', 'bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'vocal jazz']"
3223,0.958,['Jackie Gleason'],0.10400000000000001,4,0.245,0,3Qyad2ujhIDWUofTrBIYvG,0.87,10,0.41600000000000004,5,1,If I Had You,0.21,1952-11-03,0.035,3,0.129,"['adult standards', 'easy listening', 'exotica', 'lounge']"
3224,0.929,['Jimmie Thompson'],0.45299999999999996,3,0.195,0,3RT7Zz8EMHj2zr1O9a6bmC,0.0,2,0.094,5,1,Beautiful Girl,0.2,1952-04-11,0.0712,3,0.313,[]
3225,0.8,"['Marty Robbins', 'Ray Conniff']",0.609,2,0.695,0,5QDg8MdLBhbnUNgUR93TvD,0.00161,2,0.16399999999999998,5,1,A White Sport Coat (And a Pink Carnation) (with Ray Conniff),0.24,1952,0.0296,6,0.7240000000000001,[]
