genres,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,label
australian indie folk,0.33735185185185185,0.5288564814814815,0.5428888888888889,0.036745033333333336,0.15987962962962962,0.10306712962962962,0.3839685185185185,3
australian indie rock,0.11599999999999999,0.529,0.638,0.0,0.0964,0.0301,0.504,2
australian indigenous,0.12610000000000002,0.527,0.7296666666666667,0.008021666666666668,0.16363333333333333,0.03336666666666667,0.605,2
australian metal,0.00132,0.392,0.966,0.0473,0.239,0.172,0.0764,9
australian metalcore,0.09995616651785713,0.4879397321428571,0.8239263392857143,0.022411763169642857,0.17601562499999998,0.09928839285714286,0.33558571428571426,9
australian pop,0.22627239660650156,0.6046222573750071,0.6548469408176378,0.0303186071887192,0.16205751935333465,0.06870007044819695,0.4960398330467921,2
australian post-hardcore,0.2904,0.5985,0.5345,0.054177,0.1472,0.03705,0.4605,3
australian post-punk,0.02767333333333333,0.4263333333333333,0.6686666666666667,0.0005796666666666666,0.242,0.05566666666666667,0.5936666666666666,2
australian psych,0.13614929809523807,0.4672176190476191,0.7082845238095238,0.10067784139761908,0.1706708333333333,0.09509804761904762,0.38604666666666665,9
australian r&b,0.569,0.649,0.4350000000000001,3.285e-05,0.0969,0.1345,0.3075,8
australian reggae fusion,0.3491975,0.6126145833333333,0.5667916666666667,0.21201618458333327,0.2022625,0.10401145833333336,0.41947083333333335,3
australian rock,0.1338076861049019,0.5482063081776334,0.7188126381529308,0.02970113917874985,0.1969443136685625,0.056706851467798615,0.6120453962157241,2
australian singer-songwriter,0.4973333333333334,0.6215555555555555,0.4837777777777778,1.5354444444444442e-05,0.22399999999999998,0.0376,0.5662222222222222,4
australian ska,9.576666666666666e-05,0.31266666666666665,0.9946666666666668,0.0001827,0.1561,0.15866666666666668,0.2289,9
australian talent show,0.34700000000000003,0.41600000000000004,0.7070000000000001,0.0,0.708,0.14400000000000002,0.691,2
australian trap,0.19075,0.7355,0.6409999999999999,2.2149999999999993e-05,0.501,0.179,0.7245,2
australian underground hip hop,0.363,0.5575000000000001,0.8034999999999999,0.0,0.5479999999999999,0.1916,0.5965,2
austrian choir,0.9492566666666666,0.2733609523809524,0.2575252,0.2983074837333334,0.21433871428571424,0.05925219047619047,0.2000627619047619,5
austrian pop,0.15,0.523,0.5529999999999999,0.018244999999999997,0.1014,0.07875,0.1905,3
austro-german modernism,0.890125,0.35123809523809524,0.21414642857142854,0.3973127570089285,0.20683020833333327,0.0641735119047619,0.27492500000000003,5
autoharp,0.8679999999999999,0.61,0.17655,1.895e-05,0.4645,0.05475,0.5055000000000001,1
autonomous black metal,0.0010209898333333333,0.26171666666666665,0.8087833333333333,0.7785949999999999,0.3006133333333333,0.06501333333333334,0.23695166666666664,0
avant-garde,0.9144172081104116,0.3321325843208393,0.16494180657004245,0.5730298880934442,0.16762643102597355,0.0482128870786802,0.23455191372690054,6
avant-garde jazz,0.6951119594894078,0.4493416427153708,0.3480383488357703,0.4188756863401452,0.17096792336807656,0.06658657522381332,0.4462003395379642,7
avant-garde metal,0.000459935,0.396,0.9309999999999999,0.8009999999999999,0.4505,0.08695,0.12495,0
axe,0.2952856666666667,0.6279666666666668,0.6829833333333334,0.0017135439999999998,0.22943,0.05150000000000001,0.7397499999999999,3
azeri traditional,0.7778,0.5508,0.3586,0.0008075200000000003,0.20718000000000003,0.05732,0.6524,1
azonto,0.095513,0.7124166666666666,0.7138,0.0005284713333333332,0.22074166666666664,0.16959000000000002,0.60845,2
azontobeats,0.77,0.605,0.602,0.0007610000000000001,0.083,0.0413,0.903,4
bachata,0.3469379383119495,0.8036457888516709,0.612844234039381,0.028645928401133124,0.15287289552168962,0.04908585813206401,0.8123241950805187,2
background music,0.9155283951970308,0.2429889203778677,0.0746190516869096,0.8648276875816463,0.11238844129554654,0.04410669703103915,0.11188686909581644,6
backing track,0.18365,0.6859999999999999,0.45299999999999996,0.0006405,0.0823,0.03905,0.7184999999999999,3
bahamian folk,0.6351097222222223,0.6582361111111111,0.6776666666666668,0.27466709888888885,0.2320263888888889,0.08976805555555556,0.7137777777777777,4
bahamian pop,0.05195,0.8103333333333333,0.8526666666666667,0.0005737499999999999,0.15355000000000002,0.08413333333333334,0.8285,2
baiao,0.7763333333333332,0.6874166666666667,0.4567222222222222,0.2909192511111111,0.1994388888888889,0.05155833333333334,0.7991388888888888,4
baile pop,0.5227205345345346,0.5909625825825826,0.5095687237237237,0.010818430238138136,0.2035308663663664,0.060822818318318324,0.5230050300300301,4
bakersfield sound,0.5832351125800489,0.6116981223297401,0.5044725825796088,0.01759840654699815,0.1776405059229079,0.043443013617343686,0.7514397695834788,4
balearic,0.09904,0.6827500000000001,0.7954999999999999,0.40578000000000003,0.2618,0.0446,0.85525,2
balkan brass,0.2241,0.569,0.8185,3.87e-06,0.0955,0.0425,0.5640000000000001,3
ballet class,0.8809999999999999,0.2898888888888889,0.06343333333333334,0.7226666666666666,0.20227777777777767,0.04455555555555557,0.09115555555555556,6
ballroom,0.6972357200355815,0.4110868078315448,0.3539275391470129,0.5303120887060476,0.1567616410572089,0.038235877099969895,0.4701013268466938,7
baltic classical,0.910875,0.311375,0.010973375,0.5172853000000001,0.08577499999999999,0.06811249999999999,0.1781,6
baltimore hip hop,0.13865833333333333,0.8090833333333334,0.5986666666666667,0.0,0.20864166666666667,0.17801666666666666,0.4208000000000001,2
baltimore indie,0.20457718868686867,0.45031858585858586,0.7114292929292929,0.245398817979798,0.2482630101010101,0.048266585858585856,0.3792519191919192,9
banda,0.37949852071082585,0.6762744831391999,0.6088861824015047,0.01645630124424849,0.15750012731146482,0.06621661373344456,0.8136689285196069,2
banda caliente,0.35301867632367634,0.6638374791874792,0.5784993672993672,0.006541655065934068,0.13249346320346322,0.08553196969696973,0.8454684815184813,2
banda carnavalera,0.3951166666666666,0.6696333333333334,0.6168000000000001,0.06435476916666666,0.15470708333333336,0.052564444444444434,0.9092194444444444,2
bandinhas,0.9602,0.6442,0.4242,0.9138,0.1648,0.04138,0.8036,7
bandoneon,0.5662666666666667,0.467111111111111,0.3511111111111111,0.2696,0.3227911111111111,0.04867333333333334,0.5946666666666667,4
bangla,0.9128708928571428,0.4720742658730159,0.3020527837301587,0.14110545987996032,0.20040702380952385,0.05373787103174603,0.4845604861111112,1
banjo,0.6319764144574403,0.5508478232827967,0.4705356211170533,0.18915854671496232,0.2535289836715633,0.0643822201861955,0.6973510033086291,4
bansuri,0.9335,0.3065,0.13053499999999998,0.6423333333333333,0.12213333333333333,0.05475,0.3316666666666667,6
barbadian pop,0.1867428146551724,0.7191866379310344,0.687726724137931,0.0010531345689655171,0.1453739655172414,0.08893021551724138,0.6780950431034483,2
barbershop,0.832125,0.57925,0.26148750000000004,3.6e-07,0.3164625,0.17120000000000002,0.610375,1
bard,0.5416333333333333,0.509,0.2946666666666667,0.003216666666666667,0.1127,0.03936666666666667,0.38233333333333336,4
barnmusik,0.8787499999999999,0.557,0.21175,0.32925296000000004,0.5955,0.0595,0.50625,6
baroque,0.9356563548202668,0.3892140919773584,0.1698560550128915,0.5894394333340551,0.14943894000918287,0.05056331887296395,0.3805327290276268,6
baroque ensemble,0.8889452751196172,0.3497838450292397,0.21466665271132385,0.2963616995625997,0.1377752505316321,0.04395772993088783,0.3382840404040404,5
baroque pop,0.3646510790517113,0.5175801055943401,0.5863755873819498,0.10771653384077202,0.17870122362066426,0.043703506451269206,0.5290080919210933,3
baroque singing,0.9565,0.1625,0.05165,0.140465,0.1205,0.0542,0.0405,5
baroque violin,0.8990729166666667,0.38031875,0.24556008333333335,0.40233238245833336,0.1802504166666667,0.04093354166666667,0.4576341666666667,5
bass house,0.12010627450980392,0.7279133333333333,0.7352711764705882,0.10910335764705884,0.1562180882352941,0.07917528431372549,0.3921692156862744,2
bass music,0.3774171428571429,0.5601071428571428,0.5602857142857143,0.38362667857142857,0.128925,0.15093928571428572,0.2980571428571429,3
bass trap,0.10220613656330747,0.6045458656330749,0.7617076227390179,0.12733220454134367,0.2114394056847545,0.08531498708010334,0.3587711240310078,2
