,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence
54,0.73,"[""The Swingin' Bachelors""]",0.72,210293,0.718,0,1Gt8Mf423GHyuXIRHM1ymX,3.11e-06,0,0.319,-7.47,1,Jitterbug Jive,0,1920-02-29,0.0336,125.006,0.885
55,0.996,['Mamie Smith & Her Jazz Hounds'],0.679,175200,0.182,0,1HAK7hlSD1szWBiaC7PO7A,0.668,10,0.47,-13.741,1,The Darktown Flappers' Ball,0,1920,0.0693,123.803,0.754
56,0.989,['Mistinguett'],0.623,180467,0.339,0,1IXmlA1rKwIBqsxKE9PO2A,0.0,7,0.155,-15.169,1,Le Gri Gri D'amour,0,1920,0.121,121.47,0.701
57,0.336,['No.Losiento'],0.652,188958,0.647,0,1KU6CRh6ctSo1uCupMAnA4,0.321,5,0.094,-7.474,1,Pillbox,0,1920-01-01,0.0337,112.023,0.0724
58,0.934,['Marika Paragkika'],0.306,241813,0.498,0,1NLQkLXi6eKvHriBSo1pMv,0.00198,4,0.227,-10.333,1,Mpraila,0,1920-01-01,0.0367,130.632,0.795
59,0.996,['Francisco Canaro'],0.369,168293,0.285,0,1QI5WTvnpNV5vJJQU4DPX1,0.938,7,0.193,-16.523,1,El Baccarat - Remasterizado,0,1920-07-08,0.0528,129.558,0.635
60,0.995,['Amalia Vaka'],0.287,216720,0.621,0,1QS0MyTMZPosdthxhALOhT,0.784,3,0.151,-10.843,0,Argilamas kai psarades,0,1920-01-01,0.0394,77.537,0.559
61,0.995,['Georgel'],0.716,163133,0.25,0,1X21kzrq3Fi1cGNaV8nTXa,0.0,4,0.188,-12.932,1,Les Petits Païens,0,1920,0.0726,138.405,0.881
62,0.979,['ibn Arûsh'],0.275,318667,0.302,0,1a3XwPt7zbX3hdV25EGG7w,0.589,0,0.47,-14.122,1,Mawwâl Irâq et qasîda malhûna miknâsiyya,0,1920-01-01,0.0549,63.424,0.493
63,0.972,['Ánna Khrisáfi'],0.632,211147,0.422,0,1bkvm3Ij45rYHplMYoegjX,0.0109,2,0.0494,-10.733,1,Samiótissa,0,1920-01-01,0.0597,120.906,0.946
64,0.219,['Konbeatz'],0.609,247678,0.322,0,1bzr8IhTopsIKToYnjIyTS,0.848,1,0.123,-12.741,0,Airplanes,0,1920-04-20,0.0359,154.044,0.292
65,0.841,['Azzûz ibn Nânî'],0.444,159280,0.156,0,1dKTYkWFr2fuBvu0WFM8vL,0.931,2,0.0916,-16.172,1,Tawshiyat Iblîs,0,1920-01-01,0.266,75.353,0.146
66,0.422,['696'],0.574,130821,0.64,1,1dmbWmk9XSFutJe7MXP94u,0.0,1,0.123,-7.523,0,LateNights,0,1920-01-01,0.245,86.452,0.626
67,0.235,['Kaan Durak'],0.76,267076,0.602,0,1hyzrE9PSSkuYeSTS85rJP,0.878,10,0.113,-8.883,0,Distance,0,1920-08-13,0.036,120.008,0.25
68,0.167,['Two Charming Men'],0.828,345000,0.467,0,1ierpLZZSofFzKqDzh28yj,0.933,11,0.0741,-13.92,0,Brusque - Etnik Remix,0,1920-01-01,0.122,127.998,0.443
69,0.00846,['No.Losiento'],0.831,154667,0.586,0,1pIFwQpzFwcWtFIZXuu2FX,0.789,5,0.0825,-6.56,0,Breakup Sext,0,1920-01-01,0.12,89.962,0.328
70,0.52,"[""The Swingin' Bachelors""]",0.707,279053,0.324,0,1spKxUCvNzw1ZmZLPotE1k,0.000558,5,0.193,-10.098,1,Beat Up Scratched Up,0,1920-02-29,0.0253,103.933,0.527
71,0.0403,['Gianni Negro'],0.666,257313,0.914,0,1vRn5VowmIoCNOyuy9GIm6,0.731,7,0.0982,-4.107,1,Big White - Radio Edit,0,1920-01-01,0.0305,127.016,0.759
72,0.214,['Raff'],0.89,117816,0.413,1,1zpPyaMsJIqc0umXBfOkH8,0.0,1,0.139,-9.613,1,Wock(y),0,1920-04-20,0.226,92.484,0.308
73,0.229,"[""The Swingin' Bachelors""]",0.747,269360,0.708,0,23AaYEj5iOKOIzfnzbA6Nu,0.0,9,0.136,-5.827,1,Gold Digger,0,1920-02-29,0.0297,111.868,0.635
74,0.988,['Félix Mayol'],0.577,172987,0.147,0,28csnSz7AHcGYYxufDVL7G,0.0,1,0.404,-16.385,1,Lilas Blanc,0,1920,0.121,97.522,0.621
75,0.996,['Mamie Smith & Her Jazz Hounds'],0.551,175267,0.197,0,2AWOgskypXnjLItNjzE6l5,0.000211,2,0.155,-13.103,1,Mean Daddy Blues,0,1920,0.0453,127.888,0.847
76,0.959,['Khrisóstomos Theodosópoulos'],0.478,209427,0.386,0,2HH1UNGftpz0IMfHqfJaSD,0.00182,6,0.132,-12.777,0,"I stroumpoúlo, tsámiko",0,1920-01-01,0.0445,99.944,0.929
77,0.932,['Marika Papagkika'],0.382,231400,0.492,0,2Jd26bWgOlF9hVWTYhKlGM,0.0137,1,0.157,-8.321,1,Sti filaki me valane,0,1920-01-01,0.0345,88.525,0.64
78,0.993,['Azzûz ibn Nânî'],0.508,173440,0.306,0,2LmEPBMS4Fj5q8QQQHAiOu,0.829,2,0.395,-13.868,0,Mawwâl Misrî et taghtiya,0,1920-01-01,0.119,79.478,0.564
79,0.99,['Fortugé'],0.509,201867,0.306,0,2MZtBkCQLoEfpWl8dXuNfE,0.0,7,0.372,-15.441,1,Je Suis Le Petit Jeune Homme Que Vous Cherchez,0,1920,0.166,127.035,0.7
