genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,time_signature
acid house,0.17000327222222222,0.6839537037037037,323515.1111111111,0.6973611111111112,0.6294944425925926,0.2111111111111111,-9.906842592592595,0.056754629629629634,122.66309259259259,0.5215185185185185,21.25,1,0,4
acid jazz,0.2858,0.6035,364155.75,0.39675,0.66826535,0.2215,-12.6815,0.0563,111.6805,0.58675,19.0,1,1,4
acid rock,0.17626530051150893,0.5414226342710997,246766.185741688,0.6504654731457801,0.13507361688618924,0.32292097186700763,-9.975341432225065,0.14251253196930946,139.48692423273656,0.49552180306905375,21.842071611253196,7,1,4
acid techno,0.22767528888888894,0.6541666666666667,324591.44444444444,0.61325,0.7201067944444444,0.10804166666666665,-10.686111111111112,0.046227777777777784,122.55175000000001,0.33155555555555555,16.52777777777778,10,0,4
acid trance,0.0006913333333333333,0.462,165036.66666666666,0.9126666666666666,0.8176666666666668,0.268,-11.606666666666667,0.047099999999999996,136.93366666666668,0.040266666666666666,25.0,2,1,4
acousmatic,0.5530611764705882,0.5536176470588235,567576.8823529412,0.3762058823529412,0.43254380058823527,0.13066764705882353,-15.518117647058823,0.12576176470588235,108.08752941176472,0.22921176470588234,7.029411764705882,5,1,3
acoustic blues,0.5163272727272726,0.587625,221432.178030303,0.6134469696969698,0.010528246287878787,0.14939393939393938,-7.993655303030303,0.0582375,120.41259090909091,0.5839962121212121,10.090909090909092,6,0,4
acoustic chill,0.7965780303030303,0.573689393939394,201721.4678030303,0.22495492424242422,0.005794911363636363,0.13047310606060603,-12.144871212121215,0.041963068181818185,124.90927083333332,0.3503708333333333,41.87500000000001,6,1,4
acoustic opm,0.5837416666666666,0.596,232774.16666666666,0.4336666666666667,0.1550506625,0.10757500000000002,-8.35375,0.042383333333333335,119.97333333333336,0.3515,42.5,10,1,4
acoustic pop,0.4568385150683888,0.5566574260145155,215502.82503140034,0.4606528247399013,0.052358571430967366,0.13577906750112637,-9.482836031959847,0.05677788363677908,117.61668119379809,0.37744742426825484,33.44551687807989,7,1,4
acoustic punk,0.1748,0.55575,143935.0,0.6697500000000001,0.47757425,0.346,-7.04425,0.079175,137.7505,0.48250000000000004,22.0,6,1,4
action rock,0.006438333333333333,0.35316666666666663,201205.5,0.8608333333333332,0.33304444000000005,0.21926666666666664,-7.3356666666666674,0.0633,139.59233333333336,0.33516666666666667,30.0,2,1,4
adelaide indie,0.10055716666666668,0.4985833333333334,205054.83333333334,0.8464722222222223,7.522555555555555e-05,0.2898833333333333,-4.109166666666667,0.05970277777777778,140.95783333333333,0.5858333333333333,18.88888888888889,2,1,4
